Country,year,GDP,CO2 emissions,Population
China,2014,1.04757E+13,10006669.92,1371860000
China,2015,1.10616E+13,9861099.609,1379860000
China,2016,1.12333E+13,9874660.156,1387790000
China,2017,1.23104E+13,10096009.77,1396215000
China,2018,1.38948E+13,10502929.69,1402760000
China,2019,1.42799E+13,10707219.73,1407745000
South Africa,1990,1.26048E+11,247660,39877570
South Africa,1991,1.35204E+11,242330,40910959
South Africa,1992,1.46957E+11,238820,41760755
South Africa,1993,1.47197E+11,246490,42525440
South Africa,1994,1.53513E+11,252140,43267982
South Africa,1995,1.71735E+11,264310,43986084
South Africa,1996,1.63237E+11,274110,44661603
South Africa,1997,1.68977E+11,289030,45285048
South Africa,1998,1.52983E+11,296490,45852166
South Africa,1999,1.51517E+11,278410,46364681
South Africa,2000,1.51753E+11,284660,46813266
South Africa,2001,1.3543E+11,320540,47229714
South Africa,2002,1.29088E+11,331320.0073,47661514
South Africa,2003,1.9702E+11,353089.9963,48104048
South Africa,2004,2.55807E+11,379989.9902,48556071
South Africa,2005,2.88868E+11,377649.9939,49017147
South Africa,2006,3.03861E+11,379790.0085,49491756
South Africa,2007,3.33075E+11,397059.9976,49996094
South Africa,2008,3.16132E+11,426739.9902,50565812
South Africa,2009,3.29753E+11,404200.0122,51170779
South Africa,2010,4.17365E+11,425309.9976,51784921
South Africa,2011,4.58202E+11,409260.0098,52443325
South Africa,2012,4.34401E+11,426779.9988,53145033
South Africa,2013,4.00886E+11,436920.0134,53873616
South Africa,2014,3.81199E+11,447929.9927,54729551
South Africa,2015,3.4671E+11,424809.9976,55876504
South Africa,2016,3.23586E+11,425140.0146,56422274
South Africa,2017,3.81449E+11,435649.9939,56641209
South Africa,2018,4.0416E+11,434350.0061,57339635
South Africa,2019,3.88532E+11,439640.0146,58087055
